,Nome,Sobrenome,Data de Nascimento,Loja,Produto,Data,Quantidade Vendida,Preco,Faturamento,Mes_Vendas,Mes_Vendas_Num
277,Patricia,Camara,22/07/1989,Porto Alegre,Camiseta,2018-03-21,37,75,2775,Marco,3
276,Iago,Bensdorp,28/01/1991,Sao Paulo,Short,2018-03-21,104,55,5720,Marco,3
1147,Andrew,Carvalhal,21/02/1993,Rio de Janeiro,Saia,2018-03-12,63,230,14490,Marco,3
1148,Jucelia,Bailly,12/08/1989,Brasilia,Saia,2018-03-12,92,150,13800,Marco,3
1150,Andrew,Carvalhal,21/06/1992,Porto Alegre,Saia,2018-03-12,127,30,3810,Marco,3
1151,Breno,Amaral,03/11/1988,Sao Paulo,Sapato,2018-03-12,44,85,3740,Marco,3
1146,Izabel,Milagre,05/11/1986,Sao Paulo,Camiseta,2018-03-12,68,230,15640,Marco,3
245,Patricia,Camara,15/09/1989,Fortaleza,Casaco,2018-03-14,13,300,3900,Marco,3
246,Emanuella,Fialho,29/04/1991,Salvador,Vestido,2018-03-14,47,55,2585,Marco,3
244,Emanuella,Fialho,25/10/1993,Salvador,Tenis,2018-03-14,146,30,4380,Marco,3
243,Patricia,Camara,30/03/1988,Fortaleza,Casaco,2018-03-14,148,30,4440,Marco,3
242,Eduarda,Figueiredo,05/04/1987,Sao Paulo,Camiseta,2018-03-14,32,150,4800,Marco,3
1149,Andrew,Carvalhal,22/04/1990,Fortaleza,Camiseta,2018-03-12,119,75,8925,Marco,3
1145,Elizeu,Barros,29/08/1986,Fortaleza,Camiseta,2018-03-12,106,230,24380,Marco,3
1017,Joyce,Ribas,20/08/1985,Porto Alegre,Sapato,2018-03-11,75,190,14250,Marco,3
868,Paloma,Farias,09/10/1985,Brasilia,Camiseta,2018-03-09,52,110,5720,Marco,3
870,Elizeu,Barros,16/05/1990,Brasilia,Sapato,2018-03-09,131,25,3275,Marco,3
350,Izabel,Milagre,05/12/1990,Curitiba,Casaco,2018-03-04,5,75,375,Marco,3
869,Maryanna,Correa,29/12/1985,Rio de Janeiro,Vestido,2018-03-09,65,55,3575,Marco,3
628,Maryanna,Correa,08/02/1993,Porto Alegre,Sapato,2018-03-07,135,75,10125,Marco,3
347,Patricia,Camara,29/11/1990,Sao Paulo,Vestido,2018-03-04,50,190,9500,Marco,3
268,Jucelia,Bailly,23/11/1993,Fortaleza,Casaco,2018-03-20,111,110,12210,Marco,3
269,Joyce,Ribas,02/02/1988,Brasilia,Casaco,2018-03-20,67,110,7370,Marco,3
270,Eduarda,Figueiredo,30/10/1988,Rio de Janeiro,Vestido,2018-03-20,47,75,3525,Marco,3
299,Eduarda,Figueiredo,22/10/1989,Rio de Janeiro,Vestido,2018-03-26,82,30,2460,Marco,3
286,Andrew,Carvalhal,29/07/1990,Brasilia,Sapato,2018-03-23,8,75,600,Marco,3
285,NatÃ¡lia,Huon,23/11/1985,Porto Alegre,Sapato,2018-03-23,11,55,605,Marco,3
284,Eduarda,Figueiredo,20/03/1988,Rio de Janeiro,Camiseta,2018-03-23,42,75,3150,Marco,3
271,Andrew,Carvalhal,01/08/1986,Curitiba,Casaco,2018-03-20,127,25,3175,Marco,3
272,Maryanna,Correa,05/10/1987,Salvador,Camiseta,2018-03-20,6,85,510,Marco,3
279,Elizeu,Barros,09/04/1986,Salvador,Casaco,2018-03-22,145,150,21750,Marco,3
280,Joyce,Ribas,15/12/1986,Salvador,Vestido,2018-03-22,90,190,17100,Marco,3
281,Paloma,Farias,15/11/1989,Rio de Janeiro,Vestido,2018-03-22,134,85,11390,Marco,3
282,Elizeu,Barros,27/05/1988,Fortaleza,Casaco,2018-03-22,148,25,3700,Marco,3
237,Elizeu,Barros,07/02/1993,Porto Alegre,Vestido,2018-03-13,98,110,10780,Marco,3
238,Patricia,Camara,09/03/1989,Sao Paulo,Camiseta,2018-03-13,43,200,8600,Marco,3
239,Patricia,Camara,28/11/1985,Porto Alegre,Sandalia,2018-03-13,28,300,8400,Marco,3
240,Maryanna,Correa,26/08/1985,Curitiba,Tenis,2018-03-13,100,55,5500,Marco,3
241,Andrew,Carvalhal,03/05/1990,Fortaleza,Saia,2018-03-13,53,75,3975,Marco,3
345,Iago,Bensdorp,03/10/1993,Sao Paulo,Vestido,2018-03-04,74,230,17020,Marco,3
627,Elizeu,Barros,24/11/1986,Sao Paulo,Sapato,2018-03-07,84,190,15960,Marco,3
874,Joyce,Ribas,30/09/1988,Brasilia,Vestido,2018-03-09,9,25,225,Marco,3
298,Maryanna,Correa,21/03/1988,Fortaleza,Casaco,2018-03-26,73,85,6205,Marco,3
872,Tayna,Coimbra,22/02/1993,Brasilia,Casaco,2018-03-09,82,30,2460,Marco,3
321,Andrew,Carvalhal,30/04/1985,Rio de Janeiro,Sapato,2018-03-29,95,55,5225,Marco,3
303,Iago,Bensdorp,24/12/1988,Porto Alegre,Short,2018-03-27,120,85,10200,Marco,3
301,Andrew,Carvalhal,07/06/1991,Rio de Janeiro,Short,2018-03-27,117,150,17550,Marco,3
305,Paloma,Farias,26/05/1991,Porto Alegre,Casaco,2018-03-27,3,150,450,Marco,3
300,Andrew,Carvalhal,27/09/1989,Porto Alegre,Sapato,2018-03-27,127,150,19050,Marco,3
331,Joyce,Ribas,31/01/1989,Rio de Janeiro,Saia,2018-03-31,89,150,13350,Marco,3
324,Juliane,Felipi,10/01/1990,Salvador,Casaco,2018-03-29,5,190,950,Marco,3
316,Iago,Bensdorp,27/04/1991,Sao Paulo,Bermuda,2018-03-28,3,85,255,Marco,3
306,NatÃ¡lia,Huon,14/10/1986,Fortaleza,Vestido,2018-03-28,120,190,22800,Marco,3
322,Patricia,Camara,15/10/1987,Rio de Janeiro,Sandalia,2018-03-29,91,55,5005,Marco,3
320,Jucelia,Bailly,26/05/1990,Curitiba,Sandalia,2018-03-29,20,300,6000,Marco,3
263,Emanuella,Fialho,23/02/1988,Sao Paulo,Sapato,2018-03-18,122,110,13420,Marco,3
319,Jucelia,Bailly,18/09/1989,Sao Paulo,Bermuda,2018-03-29,79,110,8690,Marco,3
307,Jucelia,Bailly,04/05/1992,Salvador,Casaco,2018-03-28,109,200,21800,Marco,3
255,Eduarda,Figueiredo,17/08/1986,Porto Alegre,Short,2018-03-16,9,110,990,Marco,3
254,Iago,Bensdorp,30/07/1989,Sao Paulo,Saia,2018-03-16,54,110,5940,Marco,3
253,Patricia,Camara,18/12/1993,Fortaleza,Saia,2018-03-16,51,200,10200,Marco,3
308,Maryanna,Correa,05/09/1993,Salvador,Sapato,2018-03-28,139,150,20850,Marco,3
309,Jucelia,Bailly,04/07/1986,Curitiba,Sapato,2018-03-28,100,190,19000,Marco,3
323,Iago,Bensdorp,14/03/1991,Salvador,Saia,2018-03-29,11,230,2530,Marco,3
318,Jucelia,Bailly,11/08/1991,Curitiba,Bermuda,2018-03-29,92,200,18400,Marco,3
310,Eduarda,Figueiredo,08/10/1987,Fortaleza,Sapato,2018-03-28,118,150,17700,Marco,3
314,Paloma,Farias,20/11/1985,Rio de Janeiro,Camiseta,2018-03-28,137,25,3425,Marco,3
313,Izabel,Milagre,27/04/1993,Rio de Janeiro,Chinelo,2018-03-28,76,75,5700,Marco,3
317,Elizeu,Barros,17/12/1991,Salvador,Saia,2018-03-29,137,150,20550,Marco,3
312,Elizeu,Barros,24/07/1991,Salvador,Camiseta,2018-03-28,108,55,5940,Marco,3
311,Breno,Amaral,04/11/1988,Porto Alegre,Vestido,2018-03-28,82,110,9020,Marco,3
329,Paloma,Farias,23/09/1985,Rio de Janeiro,Vestido,2018-03-31,132,190,25080,Marco,3
332,Elizeu,Barros,15/09/1988,Rio de Janeiro,Bermuda,2018-03-31,18,150,2700,Marco,3
302,Iago,Bensdorp,27/08/1987,Brasilia,Camiseta,2018-03-27,68,250,17000,Marco,3
328,Paloma,Farias,05/05/1992,Rio de Janeiro,Vestido,2018-03-30,39,75,2925,Marco,3
327,Patricia,Camara,26/02/1986,Salvador,Vestido,2018-03-30,47,85,3995,Marco,3
5,Paloma,Farias,22/12/1993,Brasilia,Sapato,2018-03-01,88,200,17600,Marco,3
326,Emanuella,Fialho,08/02/1989,Rio de Janeiro,Vestido,2018-03-30,42,230,9660,Marco,3
258,Joyce,Ribas,28/03/1993,Curitiba,Casaco,2018-03-17,125,150,18750,Marco,3
330,Patricia,Camara,15/05/1988,Rio de Janeiro,Pulseira,2018-03-31,76,200,15200,Marco,3
259,Joyce,Ribas,28/02/1992,Curitiba,Pulseira,2018-03-17,93,85,7905,Marco,3
260,Maryanna,Correa,13/08/1988,Porto Alegre,Sandalia,2018-03-17,49,150,7350,Marco,3
325,Eduarda,Figueiredo,18/11/1985,Sao Paulo,Vestido,2018-03-30,42,230,9660,Marco,3
315,Juliane,Felipi,03/01/1991,Rio de Janeiro,Casaco,2018-03-28,9,110,990,Marco,3
257,Elizeu,Barros,29/12/1990,Sao Paulo,Vestido,2018-03-17,117,230,26910,Marco,3
256,Tayna,Coimbra,08/08/1993,Fortaleza,Saia,2018-03-17,126,230,28980,Marco,3
262,Elizeu,Barros,06/11/1993,Brasilia,Sapato,2018-03-18,121,250,30250,Marco,3
304,Paloma,Farias,06/01/1993,Sao Paulo,Vestido,2018-03-27,45,85,3825,Marco,3
264,Izabel,Milagre,02/02/1989,Curitiba,Vestido,2018-03-18,138,85,11730,Marco,3
261,Paloma,Farias,23/10/1986,Rio de Janeiro,Casaco,2018-03-18,107,300,32100,Marco,3
875,Jucelia,Bailly,14/07/1988,Rio de Janeiro,Vestido,2018-04-09,94,300,28200,Abril,4
629,Breno,Amaral,01/12/1991,Salvador,Bermuda,2018-04-07,141,190,26790,Abril,4
632,Emanuella,Fialho,29/04/1987,Brasilia,Sapato,2018-04-07,8,250,2000,Abril,4
631,Eduarda,Figueiredo,25/01/1986,Salvador,Vestido,2018-04-07,61,55,3355,Abril,4
630,Eduarda,Figueiredo,28/11/1986,Brasilia,Vestido,2018-04-07,20,200,4000,Abril,4
205,Emanuella,Fialho,23/05/1990,Porto Alegre,Vestido,2018-04-03,33,75,2475,Abril,4
390,Jucelia,Bailly,06/08/1989,Rio de Janeiro,Sapato,2018-04-13,34,75,2550,Abril,4
352,Emanuella,Fialho,14/11/1992,Salvador,Casaco,2018-04-04,69,25,1725,Abril,4
203,Paloma,Farias,22/03/1988,Fortaleza,Vestido,2018-04-03,140,85,11900,Abril,4
204,Emanuella,Fialho,30/08/1991,Porto Alegre,Sapato,2018-04-03,36,75,2700,Abril,4
409,Juliane,Felipi,13/01/1992,Salvador,Casaco,2018-04-17,123,200,24600,Abril,4
408,Izabel,Milagre,16/07/1986,Salvador,Sapato,2018-04-17,137,250,34250,Abril,4
388,Eduarda,Figueiredo,01/06/1990,Rio de Janeiro,Casaco,2018-04-13,88,190,16720,Abril,4
389,Joyce,Ribas,05/03/1993,Brasilia,Jaqueta,2018-04-13,81,150,12150,Abril,4
353,Iago,Bensdorp,31/08/1990,Fortaleza,Vestido,2018-04-04,5,150,750,Abril,4
351,Joyce,Ribas,04/11/1986,Porto Alegre,Sandalia,2018-04-04,106,85,9010,Abril,4
447,Joyce,Ribas,13/04/1991,Salvador,Sapato,2018-04-26,60,250,15000,Abril,4
430,Breno,Amaral,22/01/1990,Salvador,Vestido,2018-04-21,143,30,4290,Abril,4
471,Andrew,Carvalhal,04/01/1987,Porto Alegre,Sapato,2018-04-30,58,110,6380,Abril,4
470,Emanuella,Fialho,09/05/1988,Sao Paulo,Sandalia,2018-04-30,147,110,16170,Abril,4
399,Eduarda,Figueiredo,15/02/1986,Salvador,Casaco,2018-04-14,13,85,1105,Abril,4
398,Elizeu,Barros,31/12/1988,Fortaleza,Sapato,2018-04-14,21,300,6300,Abril,4
397,Andrew,Carvalhal,30/08/1991,Porto Alegre,Sapato,2018-04-14,62,110,6820,Abril,4
396,Maryanna,Correa,05/04/1993,Salvador,Casaco,2018-04-14,64,110,7040,Abril,4
395,Izabel,Milagre,09/10/1987,Rio de Janeiro,Vestido,2018-04-14,85,190,16150,Abril,4
392,Paloma,Farias,13/12/1988,Sao Paulo,Sapato,2018-04-14,142,150,21300,Abril,4
393,Maryanna,Correa,02/12/1988,Rio de Janeiro,Vestido,2018-04-14,89,230,20470,Abril,4
394,Joyce,Ribas,22/03/1992,Fortaleza,Vestido,2018-04-14,76,230,17480,Abril,4
391,Joyce,Ribas,25/10/1990,Porto Alegre,Jaqueta,2018-04-14,150,250,37500,Abril,4
412,Patricia,Camara,16/02/1985,Porto Alegre,Jaqueta,2018-04-17,6,150,900,Abril,4
427,Jucelia,Bailly,23/04/1989,Brasilia,Saia,2018-04-21,36,190,6840,Abril,4
469,Andrew,Carvalhal,14/09/1992,Porto Alegre,Tenis,2018-04-29,4,75,300,Abril,4
10,Paloma,Farias,01/05/1988,Brasilia,Vestido,2018-04-01,73,110,8030,Abril,4
202,Patricia,Camara,22/08/1992,Brasilia,Sapato,2018-04-03,136,110,14960,Abril,4
208,Breno,Amaral,04/11/1989,Rio de Janeiro,Vestido,2018-04-03,3,250,750,Abril,4
207,Eduarda,Figueiredo,12/02/1992,Brasilia,Vestido,2018-04-03,23,55,1265,Abril,4
206,Breno,Amaral,10/07/1987,Curitiba,Bermuda,2018-04-03,64,30,1920,Abril,4
467,Juliane,Felipi,01/10/1993,Brasilia,Casaco,2018-04-29,78,30,2340,Abril,4
468,Jucelia,Bailly,09/01/1993,Rio de Janeiro,Vestido,2018-04-29,9,150,1350,Abril,4
466,Izabel,Milagre,20/09/1992,Curitiba,Jaqueta,2018-04-29,42,75,3150,Abril,4
465,Breno,Amaral,04/08/1991,Porto Alegre,Vestido,2018-04-29,43,300,12900,Abril,4
464,Elizeu,Barros,09/04/1988,Brasilia,Sandalia,2018-04-29,146,190,27740,Abril,4
428,Patricia,Camara,30/03/1989,Rio de Janeiro,Sapato,2018-04-21,60,110,6600,Abril,4
429,Izabel,Milagre,18/06/1989,Brasilia,Sapato,2018-04-21,99,55,5445,Abril,4
11,Patricia,Camara,15/03/1989,Rio de Janeiro,Vestido,2018-04-01,5,200,1000,Abril,4
410,Elizeu,Barros,25/08/1993,Brasilia,Casaco,2018-04-17,43,300,12900,Abril,4
1018,Juliane,Felipi,10/10/1989,Porto Alegre,Camiseta,2018-04-11,118,230,27140,Abril,4
463,Andrew,Carvalhal,21/01/1993,Sao Paulo,Saia,2018-04-28,2,150,300,Abril,4
439,Breno,Amaral,06/09/1992,Curitiba,Sapato,2018-04-24,98,75,7350,Abril,4
441,Patricia,Camara,29/03/1987,Rio de Janeiro,Saia,2018-04-24,24,150,3600,Abril,4
440,Paloma,Farias,23/05/1990,Salvador,Casaco,2018-04-24,72,85,6120,Abril,4
458,Elizeu,Barros,13/03/1989,Sao Paulo,Sandalia,2018-04-27,26,110,2860,Abril,4
456,Emanuella,Fialho,10/05/1991,Fortaleza,Sapato,2018-04-27,117,85,9945,Abril,4
455,Eduarda,Figueiredo,27/05/1992,Rio de Janeiro,Tenis,2018-04-27,55,190,10450,Abril,4
400,Iago,Bensdorp,04/01/1987,Fortaleza,Vestido,2018-04-15,143,250,35750,Abril,4
401,Andrew,Carvalhal,11/09/1991,Fortaleza,Casaco,2018-04-15,105,200,21000,Abril,4
402,Eduarda,Figueiredo,03/04/1990,Sao Paulo,Sandalia,2018-04-15,93,55,5115,Abril,4
416,Patricia,Camara,21/06/1986,Brasilia,Vestido,2018-04-18,20,55,1100,Abril,4
415,Andrew,Carvalhal,18/09/1993,Fortaleza,Sapato,2018-04-18,89,55,4895,Abril,4
444,Elizeu,Barros,24/02/1987,Curitiba,Sandalia,2018-04-25,66,25,1650,Abril,4
442,Izabel,Milagre,14/01/1989,Porto Alegre,Sandalia,2018-04-25,142,25,3550,Abril,4
443,Maryanna,Correa,21/11/1986,Porto Alegre,Casaco,2018-04-25,39,85,3315,Abril,4
438,Joyce,Ribas,16/02/1987,Sao Paulo,Vestido,2018-04-24,143,55,7865,Abril,4
403,Emanuella,Fialho,11/09/1993,Rio de Janeiro,Vestido,2018-04-15,6,250,1500,Abril,4
421,Patricia,Camara,06/07/1985,Porto Alegre,Casaco,2018-04-19,35,55,1925,Abril,4
420,Maryanna,Correa,13/04/1990,Porto Alegre,Casaco,2018-04-19,52,55,2860,Abril,4
419,Elizeu,Barros,26/06/1988,Rio de Janeiro,Vestido,2018-04-19,98,150,14700,Abril,4
414,Jucelia,Bailly,05/09/1987,Sao Paulo,Sapato,2018-04-18,80,85,6800,Abril,4
413,Elizeu,Barros,25/08/1985,Rio de Janeiro,Sapato,2018-04-18,100,190,19000,Abril,4
417,Juliane,Felipi,22/03/1985,Curitiba,Camiseta,2018-04-18,19,55,1045,Abril,4
418,Tayna,Coimbra,13/11/1987,Salvador,Vestido,2018-04-18,11,30,330,Abril,4
449,Andrew,Carvalhal,25/12/1989,Porto Alegre,Casaco,2018-04-26,47,150,7050,Abril,4
445,NatÃ¡lia,Huon,13/09/1990,Sao Paulo,Vestido,2018-04-26,142,200,28400,Abril,4
450,Patricia,Camara,01/03/1985,Salvador,Casaco,2018-04-26,21,190,3990,Abril,4
451,Eduarda,Figueiredo,03/01/1985,Fortaleza,Saia,2018-04-26,66,55,3630,Abril,4
452,Patricia,Camara,18/08/1992,Rio de Janeiro,Camiseta,2018-04-26,98,30,2940,Abril,4
453,Paloma,Farias,27/06/1991,Porto Alegre,Casaco,2018-04-26,8,110,880,Abril,4
448,Breno,Amaral,29/06/1991,Sao Paulo,Camiseta,2018-04-26,49,200,9800,Abril,4
422,Jucelia,Bailly,02/12/1993,Sao Paulo,Vestido,2018-04-19,1,30,30,Abril,4
411,Elizeu,Barros,21/07/1986,Curitiba,Sapato,2018-04-17,19,75,1425,Abril,4
437,Breno,Amaral,01/09/1985,Salvador,Bermuda,2018-04-24,96,85,8160,Abril,4
435,Joyce,Ribas,27/09/1989,Fortaleza,Camiseta,2018-04-24,79,200,15800,Abril,4
424,Eduarda,Figueiredo,17/09/1992,Rio de Janeiro,Chinelo,2018-04-20,95,85,8075,Abril,4
423,Elizeu,Barros,13/03/1987,Curitiba,Vestido,2018-04-20,143,190,27170,Abril,4
425,Izabel,Milagre,16/06/1992,Fortaleza,Pulseira,2018-04-20,72,110,7920,Abril,4
426,Breno,Amaral,24/07/1989,Fortaleza,Sapato,2018-04-20,88,30,2640,Abril,4
462,Iago,Bensdorp,14/07/1991,Curitiba,Sandalia,2018-04-28,66,25,1650,Abril,4
461,Elizeu,Barros,11/02/1993,Sao Paulo,Tenis,2018-04-28,94,110,10340,Abril,4
876,Emanuella,Fialho,11/05/1990,Fortaleza,Casaco,2018-04-09,53,200,10600,Abril,4
877,Juliane,Felipi,20/09/1986,Porto Alegre,Jaqueta,2018-04-09,21,55,1155,Abril,4
1021,Breno,Amaral,02/09/1985,Brasilia,Casaco,2018-04-11,93,75,6975,Abril,4
446,Jucelia,Bailly,08/04/1986,Salvador,Casaco,2018-04-26,78,300,23400,Abril,4
1023,Joyce,Ribas,19/07/1992,Sao Paulo,Sapato,2018-04-11,88,25,2200,Abril,4
1019,Jucelia,Bailly,07/03/1989,Porto Alegre,Jaqueta,2018-04-11,50,250,12500,Abril,4
1022,Paloma,Farias,21/12/1986,Porto Alegre,Sapato,2018-04-11,74,30,2220,Abril,4
1024,Breno,Amaral,16/10/1993,Sao Paulo,Sapato,2018-04-11,32,25,800,Abril,4
436,Joyce,Ribas,13/09/1985,Rio de Janeiro,Vestido,2018-04-24,47,300,14100,Abril,4
1020,Izabel,Milagre,19/12/1985,Brasilia,Sapato,2018-04-11,85,110,9350,Abril,4
1152,Breno,Amaral,16/11/1987,Sao Paulo,Chinelo,2018-04-12,87,150,13050,Abril,4
460,Paloma,Farias,15/02/1989,Rio de Janeiro,Camiseta,2018-04-28,57,190,10830,Abril,4
459,Maryanna,Correa,21/02/1986,Brasilia,Vestido,2018-04-28,55,230,12650,Abril,4
431,Paloma,Farias,20/09/1985,Curitiba,Vestido,2018-04-23,101,190,19190,Abril,4
433,Elizeu,Barros,14/11/1986,Salvador,Camiseta,2018-04-23,87,30,2610,Abril,4
432,Maryanna,Correa,06/11/1986,Sao Paulo,Saia,2018-04-23,137,85,11645,Abril,4
1154,Eduarda,Figueiredo,05/10/1986,Fortaleza,Vestido,2018-04-12,13,30,390,Abril,4
404,Juliane,Felipi,23/05/1993,Curitiba,Vestido,2018-04-16,137,300,41100,Abril,4
407,Elizeu,Barros,25/07/1986,Curitiba,Chinelo,2018-04-16,18,110,1980,Abril,4
405,Juliane,Felipi,28/11/1993,Salvador,Sapato,2018-04-16,33,85,2805,Abril,4
406,Elizeu,Barros,31/07/1988,Salvador,Casaco,2018-04-16,80,30,2400,Abril,4
454,Juliane,Felipi,06/10/1990,Porto Alegre,Saia,2018-04-27,142,250,35500,Abril,4
457,Patricia,Camara,19/10/1991,Rio de Janeiro,Sandalia,2018-04-27,130,25,3250,Abril,4
434,Jucelia,Bailly,10/09/1989,Porto Alegre,Sandalia,2018-04-24,120,250,30000,Abril,4
1153,Tayna,Coimbra,24/01/1990,Salvador,Casaco,2018-04-12,10,200,2000,Abril,4
495,Paloma,Farias,18/05/1985,Curitiba,Pulseira,2018-05-30,115,30,3450,Maio,5
478,Jucelia,Bailly,21/07/1987,Sao Paulo,Saia,2018-05-26,36,300,10800,Maio,5
481,Paloma,Farias,01/06/1986,Curitiba,Casaco,2018-05-26,32,55,1760,Maio,5
1157,Elizeu,Barros,14/10/1989,Salvador,Casaco,2018-05-12,4,30,120,Maio,5
501,Joyce,Ribas,09/07/1985,Curitiba,Vestido,2018-05-31,44,250,11000,Maio,5
502,Maryanna,Correa,13/05/1987,Porto Alegre,Tenis,2018-05-31,45,230,10350,Maio,5
503,Eduarda,Figueiredo,02/12/1989,Brasilia,Short,2018-05-31,37,85,3145,Maio,5
354,NatÃ¡lia,Huon,29/05/1988,Brasilia,Casaco,2018-05-04,114,190,21660,Maio,5
355,Izabel,Milagre,16/11/1985,Brasilia,Sandalia,2018-05-04,90,190,17100,Maio,5
485,Juliane,Felipi,19/12/1986,Porto Alegre,Casaco,2018-05-27,126,25,3150,Maio,5
356,Joyce,Ribas,13/05/1986,Rio de Janeiro,Short,2018-05-04,50,200,10000,Maio,5
358,Elizeu,Barros,06/12/1988,Salvador,Chinelo,2018-05-04,76,55,4180,Maio,5
359,Emanuella,Fialho,22/12/1986,Fortaleza,Jaqueta,2018-05-04,51,75,3825,Maio,5
360,Juliane,Felipi,19/08/1988,Sao Paulo,Short,2018-05-04,14,110,1540,Maio,5
504,Joyce,Ribas,25/05/1987,Porto Alegre,Vestido,2018-05-31,11,85,935,Maio,5
500,Iago,Bensdorp,22/09/1993,Brasilia,Vestido,2018-05-31,114,150,17100,Maio,5
505,Breno,Amaral,21/09/1990,Fortaleza,Sapato,2018-05-31,24,25,600,Maio,5
357,Iago,Bensdorp,10/06/1992,Curitiba,Sapato,2018-05-04,113,75,8475,Maio,5
482,Breno,Amaral,22/04/1988,Curitiba,Casaco,2018-05-27,126,75,9450,Maio,5
483,Jucelia,Bailly,09/04/1989,Fortaleza,Saia,2018-05-27,39,150,5850,Maio,5
639,Elizeu,Barros,29/01/1986,Rio de Janeiro,Vestido,2018-05-07,73,25,1825,Maio,5
634,Juliane,Felipi,26/04/1990,Fortaleza,Sandalia,2018-05-07,120,230,27600,Maio,5
633,Jucelia,Bailly,13/12/1992,Sao Paulo,Saia,2018-05-07,125,250,31250,Maio,5
879,Joyce,Ribas,29/05/1988,Curitiba,Jaqueta,2018-05-09,112,150,16800,Maio,5
878,Andrew,Carvalhal,20/04/1991,Sao Paulo,Casaco,2018-05-09,69,300,20700,Maio,5
1025,Andrew,Carvalhal,29/07/1991,Sao Paulo,Casaco,2018-05-11,124,85,10540,Maio,5
1026,Iago,Bensdorp,28/06/1985,Sao Paulo,Sapato,2018-05-11,13,25,325,Maio,5
1156,Izabel,Milagre,03/05/1991,Rio de Janeiro,Vestido,2018-05-12,51,30,1530,Maio,5
1155,Iago,Bensdorp,24/07/1989,Porto Alegre,Sapato,2018-05-12,29,250,7250,Maio,5
479,Emanuella,Fialho,06/06/1990,Porto Alegre,Sandalia,2018-05-26,136,55,7480,Maio,5
484,Maryanna,Correa,19/02/1992,Brasilia,Sapato,2018-05-27,47,110,5170,Maio,5
480,Izabel,Milagre,07/06/1985,Rio de Janeiro,Chinelo,2018-05-26,14,150,2100,Maio,5
636,Jucelia,Bailly,27/05/1993,Sao Paulo,Bermuda,2018-05-07,91,150,13650,Maio,5
477,Izabel,Milagre,02/12/1988,Curitiba,Pulseira,2018-05-26,115,150,17250,Maio,5
637,Maryanna,Correa,16/05/1988,Brasilia,Vestido,2018-05-07,38,230,8740,Maio,5
638,Izabel,Milagre,24/11/1986,Porto Alegre,Camiseta,2018-05-07,31,75,2325,Maio,5
213,Eduarda,Figueiredo,17/07/1992,Rio de Janeiro,Sandalia,2018-05-03,59,55,3245,Maio,5
635,NatÃ¡lia,Huon,13/08/1988,Porto Alegre,Pulseira,2018-05-07,65,250,16250,Maio,5
212,Iago,Bensdorp,05/03/1991,Porto Alegre,Chinelo,2018-05-03,117,55,6435,Maio,5
210,Iago,Bensdorp,09/12/1990,Rio de Janeiro,Sapato,2018-05-03,118,200,23600,Maio,5
492,Joyce,Ribas,11/12/1992,Porto Alegre,Jaqueta,2018-05-29,95,230,21850,Maio,5
499,Joyce,Ribas,31/08/1990,Brasilia,Sapato,2018-05-31,125,150,18750,Maio,5
493,Emanuella,Fialho,13/03/1988,Porto Alegre,Short,2018-05-29,111,110,12210,Maio,5
497,Joyce,Ribas,15/10/1993,Sao Paulo,Sapato,2018-05-30,39,55,2145,Maio,5
211,Breno,Amaral,27/12/1986,Sao Paulo,Sapato,2018-05-03,40,230,9200,Maio,5
491,NatÃ¡lia,Huon,04/02/1987,Rio de Janeiro,Jaqueta,2018-05-29,118,190,22420,Maio,5
490,Breno,Amaral,01/01/1985,Brasilia,Sapato,2018-05-29,128,230,29440,Maio,5
496,Jucelia,Bailly,30/03/1987,Fortaleza,Saia,2018-05-30,123,25,3075,Maio,5
498,Eduarda,Figueiredo,06/01/1985,Curitiba,Vestido,2018-05-30,30,25,750,Maio,5
494,Joyce,Ribas,08/05/1987,Brasilia,Camiseta,2018-05-29,16,110,1760,Maio,5
488,Juliane,Felipi,28/02/1988,Rio de Janeiro,Casaco,2018-05-28,13,85,1105,Maio,5
489,Maryanna,Correa,16/04/1985,Porto Alegre,Bermuda,2018-05-28,25,25,625,Maio,5
486,Maryanna,Correa,31/07/1990,Sao Paulo,Sandalia,2018-05-28,128,30,3840,Maio,5
14,Jucelia,Bailly,26/04/1987,Fortaleza,Camiseta,2018-05-01,99,30,2970,Maio,5
15,Iago,Bensdorp,15/08/1989,Fortaleza,Casaco,2018-05-01,53,25,1325,Maio,5
12,Paloma,Farias,01/12/1985,Rio de Janeiro,Sapato,2018-05-01,121,110,13310,Maio,5
13,Joyce,Ribas,16/06/1986,Curitiba,Vestido,2018-05-01,73,110,8030,Maio,5
209,Iago,Bensdorp,23/04/1993,Sao Paulo,Casaco,2018-05-03,96,250,24000,Maio,5
487,Jucelia,Bailly,30/07/1988,Rio de Janeiro,Sapato,2018-05-28,18,150,2700,Maio,5
619,Maryanna,Correa,29/07/1987,Sao Paulo,Camiseta,2018-06-30,61,30,1830,Junho,6
615,Izabel,Milagre,21/06/1986,Curitiba,Saia,2018-06-30,25,230,5750,Junho,6
616,Maryanna,Correa,14/04/1986,Rio de Janeiro,Vestido,2018-06-30,131,30,3930,Junho,6
618,Tayna,Coimbra,27/04/1989,Sao Paulo,Chinelo,2018-06-30,86,25,2150,Junho,6
617,Paloma,Farias,14/07/1990,Sao Paulo,Vestido,2018-06-30,22,110,2420,Junho,6
